,Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,pedPod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,,dom.sp,prey50,TopRel
156,52332-8_S6,52332-08,NGOS_2019_10,Male,ARKW_02,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,26,59.783,149.392,59.783_149.392,chinook,chinook,NA
157,52357-22_S25,52357-22,NGOS_2020_45,Female,ARKW_41,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,9,16,59.947,149.402,59.947_149.402,NA,None,NA
158,51530-042_S60,51530-042,NGOS_2018_14,Male,ARKW_22,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,29,59.842,149.433,59.842_149.433,chum,chum,NA
159,51530-047_S28,51530-047,NGOS_2018_19,Male,ARKW_22,ARKW,NA,Kenai Fjord,2019,ARKW,2018,6,5,59.825,149.437,59.825_149.437,chum,chum,NA
160,52358-26_S58,52358-26,NGOS_2021_42,Female,ARKW_14,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.753,149.45,59.753_149.45,chinook,chinook,NA
161,52358-2_S39,52358-02,NGOS_2021_41a,Undetermined,ARKW_56,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.753,149.455,59.753_149.455,chinook,chinook,NA
162,52358-3_S40,52358-03,NGOS_2021_41b,Undetermined,ARKW_56,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.753,149.455,59.753_149.455,chinook,chinook,NA
163,51530-041_S49,51530-041,NGOS_2018_13,Male,ARKW_24,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,29,59.846,149.46,59.846_149.46,chum,chum,NA
164,52358-8_S45,52358-08,NGOS_2021_40a,Female,ARKW_07,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.765,149.463,59.765_149.463,chinook,chinook,NA
165,52358-9_S46,52358-09,NGOS_2021_40b,Undetermined,ARKW_07,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.765,149.463,59.765_149.463,chinook,chinook,NA
166,52358-4_S41,52358-04,NGOS_2021_38,Female,ARKW_52,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.775,149.467,59.775_149.467,chinook,chinook,NA
167,52358-5_S42,52358-05,NGOS_2021_39,Female,ARKW_62,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.775,149.468,59.775_149.468,chinook,chinook,NA
168,51530-040_S38,51530-040,NGOS_2018_12,Female,ARKW_01,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,29,59.85,149.478,59.85_149.478,chum,chum,NA
169,52357-18_S23,52357-18,NGOS_2020_16,Female,ARKW_01,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,6,9,59.804,149.48,59.804_149.48,chinook,chinook,NA
170,51530-035_S69,51530-035,NGOS_2018_07,Male,ARKW_23,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,27,59.796,149.489,59.796_149.489,chum,chum,NA
171,52357-29_S29,52357-29,NGOS_2020_19,Female,ARKW_62,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,6,11,59.783,149.508,59.783_149.508,chum,chum,NA
172,NGOS-2016-3_S64,51530-004,NGOS-2016-3,Male,ARKW_03,ARKW,NA,Kenai Fjord,2018,ARKW,2016,6,6,59.76,149.51,59.76_149.51,chum,chum,NA
173,52332-16_S11,52332-16,NGOS_2019_20,Female,ARKW_20,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,6,3,59.795,149.512,59.795_149.512,chinook,chinook,NA
174,52357-26_S28,52357-26,NGOS_2020_07,Male,ARKW_40,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,5,27,59.788,149.517,59.788_149.517,chinook,chinook,NA
175,51530-049_S39,51530-049,NGOS_2018_21,Undetermined,ARKW_01,ARKW,NA,Kenai Fjord,2019,ARKW,2018,6,6,59.737,149.519,59.737_149.519,chum,chum,NA
176,51530-039_S27,51530-039,NGOS_2018_11,Male,ARKW_24,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,29,59.853,149.521,59.853_149.521,chum,chum,NA
177,NGOS-2017-KF3_S5,51530-013,NGOS-2017-KF3,Undetermined,ARKW_08,ARKW,NA,Kenai Fjord,2018,ARKW,2017,6,1,59.705,149.523,59.705_149.523,chinook,chinook,NA
178,52332-25_S15,52332-25,NGOS_2019_09,Female,ARKW_58,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,26,59.767,149.528,59.767_149.528,chinook,chinook,NA
179,NGOS-2017-KF4_S14,51530-014,NGOS-2017-KF4,Undetermined,ARKW_09,ARKW,NA,Kenai Fjord,2018,ARKW,2017,6,1,59.702,149.529,59.702_149.529,chinook,chinook,NA
180,52358-16_S50,52358-16,NGOS_2021_17,Female,ARKW_52,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,25,59.778,149.532,59.778_149.532,chinook,chinook,NA
181,52358-16-dup_S15,52358-16,NGOS_2021_17,Female,ARKW_52,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,25,59.778,149.532,59.778_149.532,chinook,chinook,NA
182,52358-37_S66,52358-37,NGOS_2021_36,Male,ARKW_54,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,8,59.735,149.532,59.735_149.532,chinook,chinook,NA
183,52358-13_S49,52358-13,NGOS_2021_29,Female,FAIL,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,4,59.782,149.533,59.782_149.533,chinook,chinook,NA
184,52358-19_S53,52358-19,NGOS_2021_24,Male,ARKW_24,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,28,59.778,149.533,59.778_149.533,chinook,chinook,NA
185,51530-029_S14,51530-029,NGOS_2018_03,Female,ARKW_20,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,24,59.78,149.534,59.78_149.534,chinook,chinook,NA
186,52358-22_S55,52358-22,NGOS_2021_23,Female,ARKW_23,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,27,59.762,149.535,59.762_149.535,chinook,chinook,NA
187,52358-34_S64,52358-34,NGOS_2021_30b,Female,FAIL,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,4,59.787,149.535,59.787_149.535,chinook,chinook,NA
188,52358-35_S65,52358-35,NGOS_2021_30a,Female,FAIL,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,4,59.787,149.535,59.787_149.535,chinook,chinook,NA
189,52332-24_S14,52332-24,NGOS_2019_11,Male,ARKW_02,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,26,59.78,149.537,59.78_149.537,chinook,chinook,NA
190,52357-5_S20,52357-05,NGOS_2020_04,Male,ARKW_49,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,5,27,59.785,149.538,59.785_149.538,chinook,chinook,NA
191,52357-5-dup_S75,52357-05,NGOS_2020_04,Male,ARKW_49,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,5,27,59.785,149.538,59.785_149.538,chinook,chinook,NA
192,52358-18_S52,52358-18,NGOS_2021_25,Male,ARKW_24,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,28,59.783,149.538,59.783_149.538,chinook,chinook,NA
193,52332-3_S1,52332-03,NGOS_2019_03,Male,FAIL,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.54,59.783_149.54,chinook,chinook,NA
194,52357-4_S19,52357-04,NGOS_2020_03,Female,ARKW_47,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,5,27,59.785,149.54,59.785_149.54,chinook,chinook,NA
195,52358-11_S48,52358-11,NGOS_2021_20,Female,ARKW_39,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,25,59.783,149.54,59.783_149.54,chinook,chinook,NA
196,52358-23_S56,52358-23,NGOS_2021_22,Female,ARKW_16,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,27,59.783,149.54,59.783_149.54,chinook,chinook,NA
197,52332-11_S9,52332-11,NGOS_2019_04,Female,FAIL,unknown,NA,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.542,59.783_149.542,chinook,chinook,NA
198,52332-5_S3,52332-05,NGOS_2019_05,Undetermined,FAIL,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.542,59.783_149.542,chinook,chinook,NA
199,52332-6_S4,52332-06,NGOS_2019_06,Undetermined,FAIL,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.545,59.783_149.545,chinook,chinook,NA
200,52332-10_S8,52332-10,NGOS_2019_21B,Female,FAIL,unknown,NA,Kenai Fjord,2021P1,ARKW,2019,6,3,59.783,149.547,59.783_149.547,chinook,chinook,NA
201,52332-18_S12,52332-18,NGOS_2019_21,Female,ARKW_31,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,6,3,59.783,149.547,59.783_149.547,chinook,chinook,NA
202,52332-7_S5,52332-07,NGOS_2019_14,Female,ARKW_58,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,6,1,59.783,149.547,59.783_149.547,chinook,chinook,NA
203,52332-4_S2,52332-04,NGOS_2019_02,Female,ARKW_31,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.548,59.783_149.548,chinook,chinook,NA
204,52358-32_S62,52358-32,NGOS_2021_21,Male,ARKW_02,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,26,59.782,149.55,59.782_149.55,chinook,chinook,NA
205,52358-17_S51,52358-17,NGOS_2021_26,Male,ARKW_24,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,28,59.785,149.56,59.785_149.56,chinook,chinook,NA
206,52358-33_S63,52358-33,NGOS_2021_02,Female,ARKW_56,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,17,59.78,149.56,59.78_149.56,chinook,chinook,NA
207,51530-037_S5,51530-037,NGOS_2018_09,Male,ARKW_02,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,29,59.848,149.562,59.848_149.562,chum,chum,NA
208,51530-038_S15,51530-038,NGOS_2018_10,Male,ARKW_02,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,29,59.848,149.562,59.848_149.562,chum,chum,NA
209,52358-7_S44,52358-07,NGOS_2021_31a,Male,ARKW_66,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,4,59.797,149.563,59.797_149.563,chum,chum,NA
210,52357-2_S18,52357-02,NGOS_2020_08,Female,FAIL,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,5,28,59.777,149.567,59.777_149.567,chinook,chinook,NA
211,52358-42_S70,52358-42,NGOS_2021_27b,Female,ARKW_58,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,4,59.79,149.567,59.79_149.567,chinook,chinook,NA
212,52358-43_S71,52358-43,NGOS_2021_27a,Female,ARKW_58,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,4,59.79,149.567,59.79_149.567,chinook,chinook,NA
213,NGOS-2016-2_S56,51530-003,NGOS-2016-2,Undetermined,ARKW_02,ARKW,NA,Kenai Fjord,2018,ARKW,2016,6,6,59.78,149.57,59.78_149.57,chinook,chinook,NA
214,NGOS-2017-KF5_S23,51530-015,NGOS-2017-KF5,Male,ARKW_10,ARKW,NA,Kenai Fjord,2018,ARKW,2017,6,1,59.695,149.57,59.695_149.57,chum,chum,NA
215,52357-8_S21,52357-08,NGOS_2020_11,Female,ARKW_50,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,5,30,59.813,149.572,59.813_149.572,chinook,chinook,NA
216,52358-25_S57,52358-25,NGOS_2021_19,Male,ARKW_54,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,25,59.783,149.572,59.783_149.572,chinook,chinook,NA
217,52358-39_S67,52358-39,NGOS_2021_05,Female,ARKW_18,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,18,59.772,149.578,59.772_149.578,chinook,chinook,NA
218,52358-41_S69,52358-41,NGOS_2021_04,Male,ARKW_54,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,18,59.772,149.58,59.772_149.58,chinook,chinook,NA
219,NGOS-2016-1a_S39,51530-001,NGOS-2016-1a,Female,ARKW_01,ARKW,NA,Kenai Fjord,2018,ARKW,2016,6,6,59.78,149.58,59.78_149.58,chinook,chinook,NA
220,NGOS-2016-1b_S48,51530-002,NGOS-2016-1b,Undetermined,ARKW_01,ARKW,NA,Kenai Fjord,2018,ARKW,2016,6,6,59.78,149.58,59.78_149.58,chinook,chinook,NA
221,51530-033_S48,51530-033,NGOS_2018_06a,Male,ARKW_22,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,26,59.781,149.582,59.781_149.582,chum,chum,NA
222,51530-034_S59,51530-034,NGOS_2018_06b,Male,ARKW_22,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,26,59.781,149.582,59.781_149.582,chum,chum,NA
223,52358-21_S54,52358-21,NGOS_2021_09,Female,ARKW_18,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,18,59.78,149.582,59.78_149.582,chinook,chinook,NA
224,52358-40_S68,52358-40,NGOS_2021_03,Female,ARKW_23,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,17,59.783,149.582,59.783_149.582,chinook,chinook,NA
225,52358-31_S61,52358-31,NGOS_2021_08,Female,ARKW_18,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,18,59.777,149.583,59.777_149.583,chinook,chinook,NA
226,52358-1_S38,52358-01,NGOS_2021_06,Undetermined,ARKW_18,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,18,59.778,149.585,59.778_149.585,chinook,chinook,NA
227,52358-10_S47,52358-10,NGOS_2021_07,Female,ARKW_18,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,18,59.777,149.585,59.777_149.585,chinook,chinook,NA
228,52358-29_S60,52358-29,NGOS_2021_12,Female,ARKW_23,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,22,59.778,149.585,59.778_149.585,chinook,chinook,NA
229,NGOS-2017-KF2_S65,51530-012,NGOS-2017-KF2,Undetermined,ARKW_07,ARKW,NA,Kenai Fjord,2018,ARKW,2017,5,30,59.78,149.585,59.78_149.585,chinook,chinook,NA
230,52332-27_S16,52332-27,NGOS_2019_12,Male,ARKW_22,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,5,28,59.788,149.587,59.788_149.587,chinook,chinook,NA
231,52358-30_S77,52358-30,NGOS_2021_10,Female,ARKW_39,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,22,59.795,149.59,59.795_149.59,chinook,chinook,NA
232,52358-45_S1,52358-45,NGOS_2021_16,Male,ARKW_54,ARKW,NA,Kenai Fjord,2021P2,ARKW,2021,5,25,59.807,149.593,59.807_149.593,chinook,chinook,NA
233,52358-44_S72,52358-44,NGOS_2021_11,Female,ARKW_23,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,5,22,59.805,149.595,59.805_149.595,chinook,chinook,NA
234,52358-46_S2,52358-46,NGOS_2021_32,Female,ARKW_59,ARKW,NA,Kenai Fjord,2021P2,ARKW,2021,6,4,59.808,149.595,59.808_149.595,chinook,chinook,NA
235,52358-6_S43,52358-06,NGOS_2021_33,Female,ARKW_20,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,5,59.7,149.6,59.7_149.6,chinook,chinook,NA
236,52332-15_10,52332-15,NGOS_2019_13b,Male,FAIL,unknown,NA,Kenai Fjord,2021P1,ARKW,2019,5,28,59.812,149.603,59.812_149.603,NA,None,NA
237,52357-31_S31,52357-31,NGOS_2020_18,Male,ARKW_15,ARKW,NA,Kenai Fjord,2021P1,ARKW,2020,6,9,59.62,149.62,59.62_149.62,chum,chum,NA
238,52332-9_S7,52332-09,NGOS_2019_23,Female,ARKW_61,ARKW,NA,Kenai Fjord,2021P1,ARKW,2019,6,9,59.675,149.628,59.675_149.628,chinook,chinook,NA
239,NGOS-2017-KF7_S32,51530-017,NGOS-2017-KF7,Female,ARKW_08,ARKW,NA,Kenai Fjord,2018,ARKW,2017,6,1,59.693,149.629,59.693_149.629,chinook,chinook,NA
240,52358-28_S59,52358-28,NGOS_2021_34,Female,ARKW_55,ARKW,NA,Kenai Fjord,2021P1,ARKW,2021,6,5,59.697,149.632,59.697_149.632,NA,None,NA
241,NGOS-2017-KF8_S41,51530-018,NGOS-2017-KF8,Male,ARKW_10,ARKW,NA,Kenai Fjord,2018,ARKW,2017,6,1,59.667,149.632,59.667_149.632,chum,chum,NA
242,52358-49_S18,52358-49,NGOS_2021_50a,Female,ARKW_61,ARKW,NA,Kenai Fjord,2021P2,ARKW,2021,7,8,59.598,149.67,59.598_149.67,chum,None,NA
243,51530-043_S70,51530-043,NGOS_2018_15,Male,ARKW_03,ARKW,NA,Kenai Fjord,2019,ARKW,2018,5,29,59.877,149.877,59.877_149.877,chum,chum,NA
244,2011Feb09-02_S47,50592-002,2011Feb09-02,unknown,not run,unknown,NA,WA,2016,SRKW,2011,2,9,47.728993,122.443604,47.728993_122.443604,chinook,chinook,NA
245,2011Feb09-03_S48,50592-003,2011Feb09-03,unknown,not run,unknown,NA,WA,2016,SRKW,2011,2,9,47.728993,122.443604,47.728993_122.443604,chinook,chinook,NA
246,2011Feb10-02_S49,50592-006,2011Feb10-02,unknown,not run,unknown,NA,WA,2016,SRKW,2011,2,10,47.89592,122.62933,47.89592_122.62933,chinook,chinook,NA
247,2011Feb10-b_S50,50592-007,2011FEB10-03B,unknown,fail,unknown,NA,WA,2016,SRKW,2011,2,10,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
248,2011Feb11-01_S51,50592-008,2011FEB10-01,Female,J22,J,NA,WA,2016,SRKW,2011,2,11,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
249,2014APR14-01_S17,52196-013,2014APR14-01,Female,K27,K,NA,WA,2016,SRKW,2014,4,14,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
250,2014JAN18-01_S5,52196-016,2014JAN18-01,Male,J45,J,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chum,chum,NA
251,2014JAN18-02_S6,52196-017,2014JAN18-02,Female,J22,J,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
252,2014JAN18-03_S7,52196-018,2014JAN18-03,Female,J28,J,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
253,2014JAN18-03-reex_S30,52196-018,2014JAN18-03,Female,J28,J,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
254,2014JAN18-04_S8,52196-019,2014JAN18-04,Female,NA,NA,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chum,None,NA
255,2014JAN18-04-reex_S27,52196-019,2014JAN18-04,Female,NA,NA,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chum,None,NA
256,2014JAN18-05_S9,52196-020,2014JAN18-05,Male,J47,J,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chum,chum,NA
257,2014JAN18-06_S14,52196-021,2014JAN18-06,Male,J47,J,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,47.849831_122.447571,chum,chum,NA
258,2014NOV15-01-reex_S31,52196-041,2014NOV15-01,Female,J2,J,NA,WA,2016,SRKW,2014,11,15,47.849831,122.447571,47.849831_122.447571,chum,chum,NA
259,2014OCT17-01_S18,52196-022,2014OCT17-01,Female,K43,K,NA,WA,2016,SRKW,2014,10,17,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
260,2014OCT17-01-reex_S28,52196-022,2014OCT17-01,Female,K43,K,NA,WA,2016,SRKW,2014,10,17,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
261,2014OCT17-02_S19,52196-023,2014OCT17-02,Male,J45,J,NA,WA,2016,SRKW,2014,10,17,47.849831,122.447571,47.849831_122.447571,chum,chum,NA
262,2014OCT17-02-reex_S25,52196-023,2014OCT17-02,Male,J45,J,NA,WA,2016,SRKW,2014,10,17,47.849831,122.447571,47.849831_122.447571,chum,chum,NA
263,2015FEB18-02_S3,52196-002,2015FEB18-02,Male,K21,K,NA,WA,2016,SRKW,2015,2,18,46.8898,124.247,46.8898_124.247,NA,None,NA
264,2015FEB18-04_S4,52196-004,2015FEB18-04,Male,K44,K,NA,WA,2016,SRKW,2015,2,18,46.8898,124.247,46.8898_124.247,NA,None,NA
265,2015FEB19-04_S10,52196-005,2015FEB19-04,Male,K35,K,NA,WA,2016,SRKW,2015,2,19,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
266,2015FEB23-05_S11,52196-007,2015FEB23-05,Female,K12,K,NA,WA,2016,SRKW,2015,2,23,46.063934,124.05417,46.063934_124.05417,chinook,chinook,NA
267,2015FEB24-01_S12,52196-008,2015FEB24-01,Male,L116,L,NA,WA,2016,SRKW,2015,2,24,46.350985,124.179009,46.350985_124.179009,NA,None,NA
268,2015FEB25-03_S13,52196-010,2015FEB25-03,Female,L55,L,NA,WA,2016,SRKW,2015,2,25,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
269,2015FEB25-03-reex_S26,52196-010,2015FEB25-03,Female,L55,L,NA,WA,2016,SRKW,2015,2,25,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
270,2015Jan02-A_S1,52196-038,2015Jan10-02,fail,fail,NA,NA,WA,2016,SRKW,2015,1,2,47.81054,122.41929,47.81054_122.41929,Raja binoculata,Raja binoculata,NA
271,2015Jan02-A-reex_S24,52196-038,2015Jan10-02,fail,fail,NA,NA,WA,2016,SRKW,2015,1,2,47.81054,122.41929,47.81054_122.41929,Raja binoculata,Raja binoculata,NA
272,2015Jan03-A_S2,52196-039,2015Jan10-03,Male,J44,J,NA,WA,2016,SRKW,2015,1,3,47.81054,122.41929,47.81054_122.41929,chum,chum,NA
273,2015Jan10-02_S15,52196-031,2015Jan10-02,Male,NA,NA,NA,WA,2016,SRKW,2015,1,10,47.849831,122.447571,47.849831_122.447571,Raja binoculata,Raja binoculata,NA
274,2015Jan10-02-reex_S33,52196-031,2015Jan10-02,Male,NA,NA,NA,WA,2016,SRKW,2015,1,10,47.849831,122.447571,47.849831_122.447571,Raja binoculata,Raja binoculata,NA
275,2015Jan10-03_S16,52196-032,2015Jan10-03,Male,J44,J,NA,WA,2016,SRKW,2015,1,10,47.849831,122.447571,47.849831_122.447571,chum,chum,NA
276,2016Feb25-04_S23,NA,2016Feb25-04,NA,NA,NA,NA,WA,2016,SRKW,2016,2,25,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
277,2016Feb25-04-2_S43,NA,2016Feb25-04-2,NA,NA,NA,NA,WA,2016,SRKW,2016,2,25,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
278,2016Feb25-04-reex_S32,NA,2016Feb25-04,NA,NA,NA,NA,WA,2016,SRKW,2016,2,25,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
279,30-Jan-15_S20,52196-037,2015Jan30,Male,K33,K,NA,WA,2016,SRKW,2015,1,15,47.849831,122.447571,47.849831_122.447571,NA,None,NA
280,30-Jan-2015-2_S34,52196-037,2015Jan30,Male,K33,K,NA,WA,2016,SRKW,2015,1,30,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
281,30-Jan-2015-3_S40,52196-037,2015Jan30,Male,K33,K,NA,WA,2016,SRKW,2015,1,30,47.849831,122.447571,47.849831_122.447571,chinook,chinook,NA
282,52196-143_S83,52196-143,2017SEP24-24,Male,J45,J,NA,WA,2019,SRKW,2017,9,24,48.788187,123.339827,48.788187_123.339827,coho,coho,NA
283,52196-206_S13,52196-206,2018SEP13-02,Female,J16,J,NA,WA,2019,SRKW,2018,9,13,48.496659,123.181853,48.496659_123.181853,coho,coho,NA
284,52196-206rep_S55,52196-206,2018SEP13-02,Female,J16,J,NA,WA,2019,SRKW,2018,9,13,48.496659,123.181853,48.496659_123.181853,coho,coho,NA
285,52196-206repB_S87,52196-206,2018SEP13-02,Female,J16,J,NA,WA,2019,SRKW,2018,9,13,48.496659,123.181853,48.496659_123.181853,coho,coho,NA
286,52390-32_S28,52390-32,2021Sep21-03a,Male,L115,L,NA,WA,2021P2,SRKW,2021,9,21,47.849831,122.447571,47.849831_122.447571,NA,None,NA
287,CRC2015APR09-03_S22,52196-034,CRC2015APR09-03,Female,L54,L,NA,WA,2016,SRKW,2015,4,3,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
288,CRC2015APR09-03-2_S36,52196-034,CRC2015APR09-03,Female,L54,L,NA,WA,2016,SRKW,2015,4,3,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
289,CRC2015APR09-03-3_S42,52196-034,CRC2015APR09-03,Female,L54,L,NA,WA,2016,SRKW,2015,4,3,46.8898,124.247,46.8898_124.247,chinook,chinook,NA
290,CRC2015MAR0306-01-reex_S29,NA,CRC2015MAR0306-01,NA,NA,NA,NA,WA,2016,SRKW,2015,3,3,47.9574,124.7381,47.9574_124.7381,chinook,chinook,NA
291,CRC2015MAR06-06_S21,52196-036,CRC2015MAR06-06,Female,L54,L,NA,WA,2016,SRKW,2015,3,6,47.8675,124.7254,47.8675_124.7254,chinook,None,NA
292,CRC2015MAR06-06-2_S35,52196-036,CRC2015MAR06-06,Female,L54,L,NA,WA,2016,SRKW,2015,3,6,47.8675,124.7254,47.8675_124.7254,chinook,chinook,NA
293,CRC2015MAR06-06-3_S41,52196-036,CRC2015MAR06-06,Female,L54,L,NA,WA,2016,SRKW,2015,3,6,47.8675,124.7254,47.8675_124.7254,chinook,chinook,NA
294,F18Aug18-01_S44,52196-124,F18Aug18-01,Undetermined,J27,J,NA,WA,2018,SRKW,2018,8,18,48.496659,123.181853,48.496659_123.181853,chinook,chinook,NA
295,F18Aug18-02_S53,52196-125,F18Aug18-02,Undetermined,J27,J,NA,WA,2018,SRKW,2018,8,18,48.496659,123.181853,48.496659_123.181853,chinook,chinook,NA
296,AmpBias20-A_S40,AmpBias20-A,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
297,AmpBias20-B_S41,AmpBias20-B,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
298,AmpBias20-C_S42,AmpBias20-C,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
299,AmpBias24-A_S43,AmpBias24-A,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
300,AmpBias24-B_S44,AmpBias24-B,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
301,AmpBias24-C_S45,AmpBias24-C,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
302,AmpBias28-A_S46,AmpBias28-A,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
303,AmpBias28-B_S47,AmpBias28-B,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
304,AmpBias28-C_S48,AmpBias28-C,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
305,AmpBias32-A_S37,AmpBias32-A,NA,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA_NA,NA,None,NA
