"","reads.in","reads.out"
"F22JUL29-01A_S36_L001_R1_001.fastq.gz",376807,312203
"F22JUL29-01C_S12_L001_R1_001.fastq.gz",447019,409043
"F22MAY30-05A_S2_L001_R1_001.fastq.gz",259844,212797
"F22MAY30-05B_S3_L001_R1_001.fastq.gz",191511,159169
"F22SEP06-01A-Post_S3_L001_R1_001.fastq.gz",307427,279207
"F22SEP06-01C_S4_L001_R1_001.fastq.gz",280321,231019
"F22SEP06-01C-2_S45_L001_R1_001.fastq.gz",304426,250762
"F22SEP06-02A_S46_L001_R1_001.fastq.gz",360244,296220
"F22Sep08-01A_S70_L001_R1_001.fastq.gz",92112,88338
"F22Sep08-01A-Clean_S71_L001_R1_001.fastq.gz",102707,98435
"F23AUG17-02A_S33_L001_R1_001.fastq.gz",137543,114682
"F23AUG17-02B_S9_L001_R1_001.fastq.gz",274976,226837
"F23AUG17-03A_S34_L001_R1_001.fastq.gz",275283,227211
"F23JUL01-01A_S32_L001_R1_001.fastq.gz",414565,341506
"F23JUL01-01A-Post_S4_L001_R1_001.fastq.gz",290299,265092
"F23JUL01-03A_S6_L001_R1_001.fastq.gz",379499,312643
"F23JUL01-04A-Lys_S42_L001_R1_001.fastq.gz",508305,422739
"F23JUL01-05B_S7_L001_R1_001.fastq.gz",254964,211847
"F23JUL01-06A_S8_L001_R1_001.fastq.gz",266339,219592
"F23JUL03-03A-Lys_S43_L001_R1_001.fastq.gz",498975,394793
"F23SEP11-01B_S13_L001_R1_001.fastq.gz",546652,499641
"F23SEP11-01B_S40_L001_R1_001.fastq.gz",356967,294535
"F24AUG20-01A_S31_L001_R1_001.fastq.gz",235630,189188
"F24Aug21-01AB-Post_S18_L001_R1_001.fastq.gz",269260,220186
"F24JUL24-01A_S29_L001_R1_001.fastq.gz",548357,451265
"F24JUL27-01A-Post_S30_L001_R1_001.fastq.gz",550392,452349
"F24JUN01-01C_S14_L001_R1_001.fastq.gz",878878,667871
"F24JUN01-01C-Post_S15_L001_R1_001.fastq.gz",245536,191720
"F24JUN01-02A-Post_S16_L001_R1_001.fastq.gz",254493,200992
"F24JUN21-01A-Post_S17_L001_R1_001.fastq.gz",689439,554580
"F24MAR22-01A-Post_S10_L001_R1_001.fastq.gz",157713,110738
"F24MAY27-02A_S11_L001_R1_001.fastq.gz",338804,261570
"F24MAY27-02A-Post_S12_L001_R1_001.fastq.gz",340445,266244
"F24MAY27-03A_S13_L001_R1_001.fastq.gz",133234,105402
"F24NOV06-01A-Post_S23_L001_R1_001.fastq.gz",239488,194015
"F24OCT29-01A_S19_L001_R1_001.fastq.gz",262612,175414
"F24OCT29-06B_S20_L001_R1_001.fastq.gz",364541,279814
"F24OCT29-06B-Post_S21_L001_R1_001.fastq.gz",640092,491487
"F24OCT29-07A_S22_L001_R1_001.fastq.gz",171920,128438
"F25APR16-01A-Post_S14_L001_R1_001.fastq.gz",430526,391588
"F25DEC23-03MS_S32_L001_R1_001.fastq.gz",368676,300304
"F25NOV02-01MS-Post_S28_L001_R1_001.fastq.gz",230955,207274
"F25NOV08-01-MS-Post_S30_L001_R1_001.fastq.gz",420316,348296
"F25NOV10-01A-Post_S18_L001_R1_001.fastq.gz",182590,154663
"F25NOV10-01B-Post_S19_L001_R1_001.fastq.gz",274307,234584
"F25Nov10-01MS-Post_S31_L001_R1_001.fastq.gz",384244,331256
"F25NOV10-02A_S20_L001_R1_001.fastq.gz",221428,187590
"F25NOV10-02A-Post_S21_L001_R1_001.fastq.gz",194673,164647
"F25NOV11-01A-Post_S22_L001_R1_001.fastq.gz",131275,105706
"F25NOV11-02A-Post_S23_L001_R1_001.fastq.gz",239053,196682
"F25SEP08-02A-Post_S15_L001_R1_001.fastq.gz",357831,320572
"F25SEP08-03A_S16_L001_R1_001.fastq.gz",459667,417868
"F25SEP08-03A-Post_S17_L001_R1_001.fastq.gz",212254,192316
"F25SEP16-02MS-Post_S27_L001_R1_001.fastq.gz",276051,246224
"F25Sept08-03MS_S24_L001_R1_001.fastq.gz",268421,242454
"F25Sept16-01MS_S25_L001_R1_001.fastq.gz",72069,65468
"F25Sept16-01MS-Post_S26_L001_R1_001.fastq.gz",103607,93996
"F26JAN13-04MS_S33_L001_R1_001.fastq.gz",274208,239899
"F26JAN13-07MS-Post_S34_L001_R1_001.fastq.gz",247314,215842
"F26JAN13-08-MS_S35_L001_R1_001.fastq.gz",324233,285155
"F26JAN13-08-MS-Post_S36_L001_R1_001.fastq.gz",291971,250788
"FY17May_S33_L001_R1_001.fastq.gz",141540,125017
"M22JUN22-03A_S35_L001_R1_001.fastq.gz",388489,318586
"N09Dec10-3_S42_L001_R1_001.fastq.gz",127304,116979
"N09Dec8-3_S40_L001_R1_001.fastq.gz",171246,158369
"N09Dec8-5_S41_L001_R1_001.fastq.gz",147939,137687
"N09Sept10-3_S44_L001_R1_001.fastq.gz",104765,100915
"N09Sept10-9_S30_L001_R1_001.fastq.gz",148636,142787
"N09Sept11-7and8_S32_L001_R1_001.fastq.gz",94574,90720
"N09Sept15-12and13_S35_L001_R1_001.fastq.gz",127266,122317
"NegCon_S29_L001_R1_001.fastq.gz",710,339
"NegCon_S44_L001_R1_001.fastq.gz",274,127
"NegCon_S64_L001_R1_001.fastq.gz",291,209
"NegCon_S68_L001_R1_001.fastq.gz",94,31
"NOAA2016way_S30_L001_R1_001.fastq.gz",174497,147212
"PosCon_S43_L001_R1_001.fastq.gz",576883,409666
"PosCon_S69_L001_R1_001.fastq.gz",321009,298462
"PosCon-3_S63_L001_R1_001.fastq.gz",164092,143689
"PosCon-5_S67_L001_R1_001.fastq.gz",202522,154650
"SRR27754986_R1_001.fastq.gz",390436,308576
"SRR27754988_R1_001.fastq.gz",362850,284550
"SRR27754989_R1_001.fastq.gz",217479,167520
"SRR27754990_R1_001.fastq.gz",231784,175875
"SRR27754991_R1_001.fastq.gz",250599,191769
"SRR27754992_R1_001.fastq.gz",204124,145645
"SRR27754993_R1_001.fastq.gz",564511,380124
"SRR27754994_R1_001.fastq.gz",175661,124353
"SRR27754995_R1_001.fastq.gz",191709,132357
"SRR27754996_R1_001.fastq.gz",362655,291060
"SRR27754997_R1_001.fastq.gz",262692,210080
"SRR27754998_R1_001.fastq.gz",240656,190363
"SRR27754999_R1_001.fastq.gz",329461,268726
"SRR27755001_R1_001.fastq.gz",261990,244338
"SRR27755002_R1_001.fastq.gz",378222,292472
"SRR27755003_R1_001.fastq.gz",175954,142301
"SRR27755004_R1_001.fastq.gz",262799,206404
"SRR27755005_R1_001.fastq.gz",287689,223664
"SRR27755006_R1_001.fastq.gz",319594,240787
"SRR27755007_R1_001.fastq.gz",204743,158236
"SRR27755008_R1_001.fastq.gz",152464,76791
"SRR27755009_R1_001.fastq.gz",275900,222828
"SRR27755010_R1_001.fastq.gz",177883,142575
"SRR27755011_R1_001.fastq.gz",148756,118996
"SRR27755012_R1_001.fastq.gz",105950,80469
"SRR27755013_R1_001.fastq.gz",136559,104276
"SRR27755014_R1_001.fastq.gz",400841,314882
"SRR27755015_R1_001.fastq.gz",255439,189635
"SRR27755016_R1_001.fastq.gz",161272,119743
"SRR27755017_R1_001.fastq.gz",161503,127645
"SRR27755018_R1_001.fastq.gz",184931,143687
"SRR27755019_R1_001.fastq.gz",255616,199531
"SRR27755020_R1_001.fastq.gz",360792,159878
"SRR27755021_R1_001.fastq.gz",251322,116695
"SRR27755022_R1_001.fastq.gz",210549,117675
"SRR27755023_R1_001.fastq.gz",392522,192702
"SRR27755024_R1_001.fastq.gz",210481,128496
"SRR27755025_R1_001.fastq.gz",241518,132006
"SRR27755026_R1_001.fastq.gz",238433,172874
"SRR27755027_R1_001.fastq.gz",174445,109209
"SRR27755028_R1_001.fastq.gz",377826,230896
"SRR27755029_R1_001.fastq.gz",192466,119393
"SRR27755030_R1_001.fastq.gz",159257,57723
"SRR27755031_R1_001.fastq.gz",998686,575932
"SRR27755032_R1_001.fastq.gz",227072,54932
"SRR27755033_R1_001.fastq.gz",372106,219321
"SRR27755034_R1_001.fastq.gz",253389,150892
"SRR27755035_R1_001.fastq.gz",128353,14502
"SRR27755036_R1_001.fastq.gz",184448,56765
"SRR27755037_R1_001.fastq.gz",330087,245200
"SRR27755038_R1_001.fastq.gz",217541,95681
"SRR27755039_R1_001.fastq.gz",67695,7904
"SRR27755040_R1_001.fastq.gz",347483,108329
"SRR27755041_R1_001.fastq.gz",349341,202063
"SRR27755042_R1_001.fastq.gz",188649,112501
"SRR27755043_R1_001.fastq.gz",428861,230459
"SRR27755044_R1_001.fastq.gz",248078,189045
"SRR27755046_R1_001.fastq.gz",285909,170819
"SRR27755047_R1_001.fastq.gz",183844,143943
"SRR27755048_R1_001.fastq.gz",341979,213596
"SRR27755049_R1_001.fastq.gz",179825,87248
"SRR27755050_R1_001.fastq.gz",355384,218331
"SRR27755051_R1_001.fastq.gz",118433,32966
"SRR27755052_R1_001.fastq.gz",133901,38665
"SRR27755053_R1_001.fastq.gz",136230,39517
"SRR27755054_R1_001.fastq.gz",220108,148359
"SRR27755055_R1_001.fastq.gz",358774,213079
"SRR27755056_R1_001.fastq.gz",349663,216890
"SRR27755057_R1_001.fastq.gz",388925,190546
"SRR27755058_R1_001.fastq.gz",293491,225224
"SRR27755059_R1_001.fastq.gz",238410,129767
"SRR27755060_R1_001.fastq.gz",170950,94562
"SRR27755065_R1_001.fastq.gz",196301,154321
"SRR27755070_R1_001.fastq.gz",154415,101915
"SRR27755075_R1_001.fastq.gz",192055,128807
"SRR27755080_R1_001.fastq.gz",390300,262935
"SRR27755081_R1_001.fastq.gz",229340,178887
"SRR27755082_R1_001.fastq.gz",315886,253016
"SRR27755083_R1_001.fastq.gz",282511,224562
"SRR27755084_R1_001.fastq.gz",2329,528
"SRR27755085_R1_001.fastq.gz",241463,189123
"SRR27755086_R1_001.fastq.gz",234840,175318
"SRR27755087_R1_001.fastq.gz",154780,124683
"SRR27755088_R1_001.fastq.gz",211964,168534
"SRR27755089_R1_001.fastq.gz",220689,170342
